Number,English,Spanish,French,German,Hindi
1,as,como,comme,wie,जैसा
2,I,I,je,ich,मैं
3,his,su,son,seine,उसके
4,that,que,que,dass,उस
5,he,él,il,er,उसने
6,was,era,était,war,था
7,for,para,pour,für,के लिये
8,on,en,sur,auf,पर
9,are,son,sont,sind,कर रहे हैं
10,with,con,avec,mit,साथ से
11,they,ellos,ils,sie,वे
12,be,ser,łtre,sein,होना
13,at,en,ů,bei,पर
14,one,uno,un,ein,एक
15,have,tener,avoir,haben,है
16,this,este,ce,dies,यह
17,from,desde,ů partir de,aus,से
18,by,por,par,durch,द्वारा द्वारा
19,hot,caliente,chaud,heiß,गरम
20,word,palabra,mot,Wort,शब्द
21,but,pero,mais,aber,लेकिन अ
22,what,qué,que,was,क्या भ
23,some,algunos,certains,einige,कुछ
24,is,es,est,ist,है
25,it,lo,il,es,यह
26,you,usted,vous,Sie,आप
27,or,o,ou,oder,या
28,had,tenido,eu,hatte,था
29,the,la,la,die,
30,of,de,de,von,का
31,to,a,ů,zu,सेवा मेरे
32,and,y,et,und,तथा
33,a,un,un,ein,ए
34,in,en,dans,bei,में
35,we,nos,nous,wir,हम
36,can,lata,boîte,können,कर सकते हैं
37,out,fuera,dehors,aus,बाहर
38,other,otros,autre,andere,अन्य
39,were,eran,étaient,waren,थे
40,which,que,qui,die,कौन कौन से
41,do,hacer,faire,tun,कर
42,their,su,leur,ihre,जो अपने
43,time,tiempo,temps,Zeit,समय
44,if,si,si,wenn,अगर
45,will,lo hará,volonté,werden,मर्जी
46,how,cómo,comment,wie,किस तरह
47,said,dicho,dit,sagte,कहा हुआ
48,an,un,un,ein,एक
49,each,cada,chaque,jeder,से प्रत्येक
50,tell,decir,dire,sagen,कहना
51,does,hace,ne,tut,कर देता है
52,set,conjunto,ensemble,Satz,सेट
53,three,tres,trois,drei,तीन
54,want,querer,vouloir,wollen,चाहते हैं
55,air,aire,air,Luft,वायु
56,well,así,bien,gut,कुंआ
57,also,también,aussi,auch,भी
58,play,jugar,jouer,spielen,प्ले
59,small,pequeĄo,petit,klein,छोटा
60,end,fin,fin,Ende,समाप्त
61,put,poner,mettre,setzen,डाल दिया
62,home,casa,maison,Zuhause,घर
63,read,leer,lire,lesen,पढ़ना
64,hand,mano,main,seits,हाथ
65,port,puerto,port,Hafen,बंदरगाह
66,large,grande,grand,groß,विशाल
67,spell,deletrear,épeler,buchstabieren,जादू
68,add,aĄadir,ajouter,hinzufügen,जोड़ना
69,even,incluso,młme,auch,यहाँ तक की
70,land,tierra,terre,Lande,भूमि
71,here,aquí,ici,hier,यहां
72,must,debe,il faut,muss,जरूर
73,big,grande,grand,groß,बड़े
74,high,alto,haut,hoch,उच्च
75,such,tal,tel,so,ऐसा
76,follow,siga,suivre,folgen,का पालन करें
77,act,acto,acte,Akt,कार्य
78,why,por qué,pourquoi,warum,क्यूं कर
79,ask,preguntar,interroger,fragen,पूछना
80,men,hombres,hommes,Männer,पुरुषों
81,change,cambio,changement,Veränderung,परिवर्तन
82,went,se fue,est allé,ging,गई थी
83,light,luz,lumiŐre,Licht,रोशनी
84,kind,tipo,genre,Art,मेहरबान
85,off,fuera,de,aus,बंद
86,need,necesitará,besoin,müssen,जरुरत
87,house,casa,maison,Haus,मकान
88,picture,imagen,image,Bild,चित्र
89,try,tratar,essayer,versuchen,प्रयत्न
90,us,nosotros,nous,uns,अमेरिका
91,again,de nuevo,encore,wieder,फिर व
92,animal,animal,animal,Tier,जानवर
93,point,punto,point,Punkt,बिंदु
94,mother,madre,mŐre,Mutter,मां
95,world,mundo,monde,Welt,विश्व
96,near,cerca,prŐs de,in der Nähe von,पास में
97,build,construir,construire,bauen,बिल्ड
98,self,auto,soi,selbst,स्वयं
99,earth,tierra,terre,Erde,धरती
100,father,padre,pŐre,Vater,पिता जी
101,any,cualquier,tout,jeder,कोई भी
102,new,nuevo,nouveau,neu,नवीन व
103,work,trabajo,travail,Arbeit,काम क
104,part,parte,partie,Teil,अंश
105,take,tomar,prendre,nehmen,लेना
106,get,conseguir,obtenir,erhalten,प्राप्त
107,place,lugar,lieu,Ort,जगह
108,made,hecho,fabriqué,gemacht,बनाया गया
109,live,vivir,vivre,leben,लाइव
110,where,donde,oŚ,wo,कहां है
111,after,después,aprŐs,nach,के पश्चात
112,back,espalda,arriŐre,zurück,वापस
113,little,poco,peu,wenig,थोड़ा
114,only,sólo,seulement,nur,केवल
115,round,ronda,tour,Runde,गोल
116,man,hombre,homme,Mann,पु रूप
117,year,aĄos,année,Jahr,साल
118,came,vino,est venu,kam,आया
119,show,show,montrer,zeigen,प्रदर्शन
120,every,cada,tous,jeder,प्रत्येक
121,good,buena,bon,gut,अच्छा न
122,me,me,moi,mir,मुझे
123,give,dar,donner,geben,देना
124,our,nuestro,notre,unsere,हमारी
125,under,bajo,sous,unter,के अंतर्गत
126,name,nombre,nom,Name,नाम
127,very,muy,trŐs,sehr,बहुत
128,through,a través de,par,durch,के माध्यम से
129,just,sólo,juste,nur,केवल
130,form,forma,forme,Formular,प्रपत्र
131,sentence,frase,phrase,Satz,वाक्य
132,great,gran,grand,groß,वाह् भई वाह
133,think,pensar,penser,denken,सोच
134,say,decir,dire,sagen,कहो
135,help,ayudar,aider,Hilfe,ह मदद
136,low,bajo,faible,niedrig,कम
137,line,línea,ligne,Linie,लाइन
138,differ,ser distinto,différer,abweichen,अलग
139,turn,"a su vez,",tour,wiederum,मोड़
140,cause,causa,la cause,Ursache,वजह
141,much,mucho,beaucoup,viel,बहुत
142,mean,significará,signifier,bedeuten,मीन
143,before,antes,avant,vor,इससे पहले
144,move,movimiento,déménagement,Umzug,चाल
145,right,derecho,droit,Recht,सही
146,boy,niĄo,garçon,Junge,लड़का
147,old,viejo,vieux,alt,पुराना
148,too,demasiado,trop,zu,बहुत
149,same,misma,młme,gleich,वही
150,she,ella,elle,sie,वह
151,all,todo,tous,alle,सब
152,there,hay,lů,da,क्या आप वहां मौजूद हैं
153,when,cuando,quand,wenn,कब अ
154,up,hasta,jusqu?ů,nach oben,यूपी
155,use,uso,utiliser,Verwendung,प्रयोग करें
156,your,su,votre,Ihre,तो आप का
157,way,camino,maniŐre,Weg,मार्ग
158,about,acerca,sur,über,के बारे में
159,many,muchos,beaucoup,viele,बहुत बह
160,then,entonces,puis,dann,तब फिर
161,them,ellos,les,sie,उन्हें
162,write,escribir,écrire,schreiben,लिखना
163,would,haría,voudrais,würde,चाहेंगे
164,like,como,comme,wie,पसंद
165,so,así,si,so,तोह फिर
166,these,éstos,ces,diese,इन
167,her,su,son,sie,उसके
168,long,largo,long,lange,लंबा
169,make,hacer,faire,machen,बनाना
170,thing,cosa,chose,Sache,चीज़
171,see,ver,voir,sehen,ले देख
172,him,él,lui,ihm,उसे
173,two,dos,deux,zwei,दो
174,has,tiene,a,hat,है
175,look,buscar,regarder,suchen,नज़र
176,more,más,plus,mehr,अधिक
177,day,día,jour,Tag,दिन
178,could,podía,pourrait,könnte,सकता है
179,go,ir,aller,gehen,जाओ
180,come,venir,venir,kommen,आइए
181,did,hizo,fait,tat,किया
182,number,número,nombre,Anzahl,संख्या
183,sound,sonar,son,klingen,ध्वनि
184,no,no,aucun,nicht,नहीं न
185,most,más,plus,am meisten,अधिकांश
186,people,personas,personnes,Menschen,लोग
187,my,mi,ma,meine,मेरे
188,over,sobre,sur,über,ऊपर
189,know,saber,savoir,wissen,जानना
190,water,agua,eau,Wasser,पानी
191,than,que,que,als,से
192,call,llamada,appel,Anruf,कॉल
193,first,primero,premiŐre,erste,प्रथम
194,who,que,qui,die,who
195,may,puede,peut,können,मई
196,down,abajo,vers le bas,nach unten,नीचे
197,side,lado,côté,Seite,पक्ष
198,been,estado,été,gewesen,गया
199,now,ahora,maintenant,jetzt,अब क
200,find,encontrar,trouver,finden,खोज
201,head,cabeza,tłte,Kopf,सिर
202,stand,de pie,supporter,stehen,खड़ा
203,own,propio,propre,besitzen,अपना
204,page,página,page,Seite,पृष्ठ
205,should,debería,devrait,sollte,चाहिए
206,country,país,pays,Land,देश
207,found,encontrado,trouvé,gefunden,मिल गया
208,answer,respuesta,réponse,Antwort,उत्तर
209,school,escuela,école,Schule,स्कूल
210,grow,crecer,croître,wachsen,बढ़ना
211,study,estudio,étude,Studie,अध्ययन
212,still,todavía,encore,noch,फिर भी
213,learn,aprender,apprendre,lernen,सीखना
214,plant,planta,usine,Anlage,पौधा
215,cover,cubierta,couvercle,Abdeckung,आवरण
216,food,alimentos,nourriture,Lebensmittel,खाना
217,sun,sol,soleil,Sonne,रवि
218,four,cuatro,quatre,vier,चार
219,between,entre,entre,zwischen,के बीच
220,state,estado,état,Zustand,राज्य
221,keep,mantener,garder,halten,रखना
222,eye,ojo,?il,Auge,आंख
223,never,nunca,jamais,nie,कभी नहीं
224,last,último,dernier,letzte,पिछले
225,let,dejar,laisser,lassen,लश्कर
226,thought,pensado,pensée,Gedanken,विचार
227,city,ciudad,ville,Stadt,Faridabad
228,tree,árbol,arbre,Baum,पेड़
229,cross,cruzar,traverser,überqueren,पार करना
230,farm,granja,ferme,Bauernhof,खेत
231,hard,duro,dur,schwer,मुश्किल
232,start,inicio,début,Beginn,शुरू
233,might,podría,puissance,Macht,पराक्रम
234,story,historia,histoire,Geschichte,कहानी
235,saw,sierra,scie,Säge,देखा
236,far,ahora,loin,weit,दूर
237,sea,mar,mer,Meer,समुद्र
238,draw,dibujar,tirer,ziehen,खींचना
239,left,izquierda,gauche,links,बाएं
240,late,tarde,tard,spät,विलंब से
241,run,ejecutar,courir,laufen,Daud
242,don?t,no,needs a context,unterlassen Sie,डॉन? टी
243,while,mientras,tandis que,während,जबकि
244,press,prensa,presse,Presse,दबाएँ
245,close,Cerrar,proche,Schließen,बंद करे
246,night,noche,nuit,Nacht,रात
247,real,reales,réel,realen,असली
248,life,vida,vie,Leben,जिंदगी
249,few,pocos,peu,wenige,कुछ
250,north,norte,nord,Norden,उत्तरी
251,book,libro,livre,Buch,पुस्तक
252,carry,llevar,porter,tragen,कैरी
253,took,tomó,a pris,nahm,लिया
254,science,ciencia,science,Wissenschaft,विज्ञान
255,eat,comer,manger,essen,खा
256,room,habitación,chambre,Zimmer,कक्ष
257,friend,amigo,ami,Freund,मित्र
258,began,comenzó,a commencé,begann,शुरू हुआ
259,idea,gusta,idée,Idee,विचार
260,fish,peces,poisson,Fisch,मछली
261,mountain,montaĄa,montagne,berg,पर्वत
262,stop,Deténgase,Arrłtez,Stopp,रुकें
263,once,una vez,une fois,einmal,एक बार
264,base,base de,base,Basis,आधार
265,hear,escuchar,entendre,hören,सुनो
266,horse,caballo,cheval,Pferd,घोड़ा
267,cut,cortada,coupe,Schnitt,कट गया
268,sure,seguro,sľr,sicher,ज़रूर
269,watch,ver,regarder,beobachten,घड़ी
270,color,colores,couleur,Farbe,रंग
271,face,cara,face,Gesicht,चेहरा
272,wood,madera,bois,Holz,लकड़ी
273,main,principal,principal,Haupt-,मुख्य
274,open,abierta,ouvert,geöffnet,खुला हुआ
275,seem,parecer,paraître,scheinen,लगता है
276,together,juntos,ensemble,zusammen,साथ में
277,next,próximo,suivant,nächste,अगला
278,white,blanco,blanc,weiß,सफेद
279,children,niĄos,enfants,Kinder,बाल बच्चे
280,begin,comenzar,commencer,Start,शुरू
281,got,conseguido,eu,bekam,गॉट
282,walk,caminar,marcher,gehen,टहल लो
283,example,ejemplo,exemple,Beispiel,उदाहरण
284,ease,aliviar,facilité,erleichtern,आराम
285,paper,papel,papier,Papier,कागज़
286,group,grupo,groupe,Gruppe,समूह
287,always,siempre,toujours,immer,हमेशा
288,music,música,musique,Musik,संगीत
289,those,los,ceux,diejenigen,उन
290,both,ambos,tous les deux,beide,दोनों
291,mark,marca,marque,Marke,निशान
292,often,menudo,souvent,oft,अक्सर
293,letter,carta,lettre,Schreiben,पत्र
294,until,hasta,jusqu?ů ce que,bis,जब तक
295,mile,milla,mile,Meile,मील
296,river,río,riviŐre,Fluss,नदी
297,car,coche,voiture,Auto,गाड़ी
298,feet,pies,pieds,Füße,पैर का पंजा
299,care,cuidado,soins,Pflege,देखभाल
300,second,segundo,deuxiŐme,zweite,दूसरा
301,enough,suficiente,assez,genug,पर्याप्त
302,plain,llano,plaine,Ebene,मैदान
303,girl,chica,fille,Mädchen,लड़की
304,usual,habitual,habituel,üblich,सामान्य
305,young,joven,jeune,jung,युवा
306,ready,listo,prłt,bereit,तैयार
307,above,por encima de,au-dessus,oben,ऊपर
308,ever,nunca,jamais,je,कभी
309,red,rojo,rouge,rot,लाल
310,list,lista,liste,Liste,सूची
311,though,aunque,bien que,obwohl,हालांकि
312,feel,sentir,sentir,fühlen,महसूस कर
313,talk,charla,parler,Vortrag,बातचीत
314,bird,pájaro,oiseau,Vogel,चिड़िया
315,soon,pronto,bientôt,bald,जल्द ही
316,body,cuerpo,corps,Körper,तन
317,dog,perro,chien,Hund,कुत्ता
318,family,familia,famille,Familie,परिवार
319,direct,directa,direct,direkt,प्रत्यक्ष
320,pose,plantear,pose,Pose,पोज
321,leave,dejar,laisser,verlassen,छोड़ना
322,song,canción,chanson,Lied,गाना
323,measure,medir,mesurer,messen,उपाय
324,door,puerta,porte,Tür,द्वार
325,product,producto,produit,Produkt,उत्पाद
326,black,negro,noir,schwarz,काली
327,short,corto,court,kurz,कम
328,numeral,numeral,chiffre,Zahl,अंक
329,class,clase,classe,Klasse,कक्षा
330,wind,viento,vent,Wind,हवा
331,question,pregunta,question,Frage,सवाल
332,happen,suceder,arriver,passieren,होना
333,complete,completo,complŐte,vollständig,पूर्ण
334,ship,buque,navire,Schiff,समुंद्री जहाज
335,area,zona,zone,Bereich,क्षेत्र
336,half,medio,moitié,Hälfte,आधा
337,rock,roca,rock,Stein,चट्टान
338,order,orden,ordre,bestellen,गण
339,fire,fuego,feu,Feuer,आग
340,south,sur,sud,Süden,दक्षिण
341,problem,problema,problŐme,Problem,संकट
342,piece,pieza,piŐce,Stück,टुकड़ा
343,told,dicho,dit,sagte,बताया था
344,knew,sabía,savait,wusste,जानता था
345,pass,pasar,passer,passieren,उत्तीर्ण करना
346,since,desde,depuis,seit,जबसे
347,top,cima,haut,obere,ऊपर
348,whole,todo,ensemble,ganze,पूरा का पूरा
349,king,rey,roi,König,राजा
350,street,calle,rue,Straße,सड़क
351,inch,pulgadas,pouce,Zoll,इंच
352,multiply,multiplicar,multiplier,multiplizieren,गुणा
353,nothing,nada,rien,nichts,कुछ नहीजी
354,course,curso,cours,Kurs,कोर्स
355,stay,quedarse,rester,bleiben,रहना
356,wheel,rueda,roue,Rad,पहिया
357,full,completo,plein,voll,पूर्ण
358,force,fuerza,force,Kraft,बल
359,blue,azul,bleu,blau,नीला
360,object,objeto,objet,Objekt,वस्तु
361,decide,decidir,décider,entscheiden,तय
362,surface,superficie,surface,Oberfläche,सतह
363,deep,profunda,profond,tief,गहरा
364,moon,luna,lune,Mond,चांद
365,island,isla,île,Insel,द्वीप
366,foot,pie,pied,Fuß,पैर
367,system,sistema,systŐme,System,प्रणाली
368,busy,ocupado,occupé,beschäftigt,व्यस्त
369,test,prueba,test,Prüfung,परीक्षा
370,record,registro,record,Rekord,अभिलेख
371,boat,barco,bateau,Boot,नाव
372,common,común,commun,gemeinsam,सामान्य
373,gold,oro,or,goldenen,सोना
374,possible,posible,possible,möglich,संभव के
375,plane,plano,plan,Flugzeug,विमान
376,stead,lugar,place,statt,जगह
377,dry,seco,sec,trocken,सूखी
378,wonder,maravilla,se demander,Wunder,आश्चर्य
379,laugh,risa,rire,Lachen,हसना
380,thousand,mil,mille,tausend,हज़ार
381,ago,hace,il ya,vor,पूर्व
382,ran,corrió,ran,lief,दौड़ा
383,check,comprobar,vérifier,überprüfen,चेक
384,game,juego,jeu,Spiel,खेल
385,shape,forma,forme,Form,आकार
386,equate,equiparar,assimiler,gleichsetzen,समानता
387,hot,caliente,chaud,heiß,गरम
388,miss,seĄorita,manquer,Fehl,कुमारी र
389,brought,traído,apporté,gebracht,ले आया
390,heat,calor,chaleur,Wärme,तपिश
391,snow,nieve,neige,Schnee,हिमपात
392,tire,neumáticos,pneu,Reifen,टायर
393,bring,traer,apporter,bringen,लाओ
394,yes,sí,oui,ja,हाँ
395,distant,distante,lointain,entfernt,दूर
396,fill,llenar,remplir,füllen,भरण
397,east,al este,est,Osten,पूर्व
398,paint,pintar,peindre,malen,रंग
399,language,idioma,langue,Sprache,भाषा: हिन्दी
400,among,entre,entre,unter,के बीच में
401,unit,unidad,unité,Einheit,इकाई
402,power,potencia,puissance,Macht,शक्ति
403,town,ciudad,ville,Stadt,नगर
404,fine,fina,fin,fein,ठीक
405,certain,cierto,certain,sicher,कुछ
406,fly,volar,voler,fliegen,उड़ना
407,fall,caer,tomber,fallen,गिरना
408,lead,conducir,conduire,führen,नेतृत्व
409,cry,grito,cri,Schrei,रोना
410,dark,oscuro,sombre,dunkel,अंधेरा
411,machine,máquina,machine,Maschine,मशीन
412,note,nota,Note,note,ध्यान दें
413,wait,espere,patienter,warten,रुको
414,plan,plan de,plan,Plan,योजना
415,figure,figura,figure,Abbildung,आकृति
416,star,estrella,étoile,Stern,सितारा
417,box,caja,boîte,Kasten,डिब्बा
418,noun,sustantivo,nom,Nomen,संज्ञा
419,field,campo,domaine,Feld,मैदान
420,rest,resto,reste,Rest,आराम
421,correct,correcta,correct,richtig,सही बात
422,able,capaz,capable,fähig,योग्य
423,pound,libra,livre,Pfund,पौंड
424,done,hecho,Terminé,getan,किया हुआ
425,beauty,belleza,beauté,Schönheit,सुंदरता
426,drive,unidad,entraînement,Antriebs,चलाना
427,stood,destacado,résisté,stand,खड़ा था
428,contain,contener,contenir,enthalten,शामिल
429,front,delante,avant,Front,सामने
430,teach,enseĄar,enseigner,lehren,सिखाने
431,week,semana,semaine,Woche,सप्ताह
432,final,último,finale,Finale,अंतिम
433,gave,dio,donné,gab,दिया
434,green,verde,vert,grün,हरा
435,oh,oh,oh,oh,ओह
436,quick,rápido,rapide,schnell,शीघ्र
437,develop,desarrollar,développer,entwickeln,विकसित करना
438,ocean,océano,océan,Ozean,सागर
439,warm,caliente,chaud,warme,गरम
440,free,libre,gratuit,kostenlos,नि: शुल्क
441,minute,minuto,minute,Minute,मिनट
442,strong,fuerte,fort,stark,मजबूत
443,special,especial,spécial,besondere,विशेष
444,mind,mente,esprit,Geist,मन
445,behind,detrás,derriŐre,hinter,पीछे - पीछे
446,clear,claro,clair,klar,स्पष्ट
447,tail,cola,queue,Schwanz,पूंछ
448,produce,Produce,produire,produzieren,उत्पादित करें
449,fact,hecho,fait,Tatsache,तथ्य
450,space,espacio,espace,Raum,अंतरिक्ष
451,heard,oído,entendu,gehört,हर्ड
452,best,mejor,meilleur,beste,श्रेष्ठ
453,hour,horas,heure,Stunde,इस घंटे
454,better,mejor,mieux,besser,बेहतर
455,TRUE,verdadero,vrai,wahr,सच
456,during,durante,pendant,während,दौरान
457,hundred,cien,cent,hundert,सौ
458,five,cinco,cinq,fünf,पांच
459,remember,recordar,rappeler,merken,याद करते
460,step,paso,étape,Schritt,कदम
461,early,temprana,tôt,früh,शीघ्र
462,hold,mantenga,tenir,halten,होल्ड
463,west,oeste,ouest,Westen,पश्चिम
464,ground,suelo,sol,Boden,भूमि
465,interest,interés,intérłt,Interesse,ब्याज
466,reach,llegar,atteindre,erreichen,पहुंच
467,fast,rápido,rapide,schnell,तेज
468,verb,verbo,verbe,Verbum,क्रिया
469,sing,cantar,chanter,singen,गाओ
470,listen,escuchar,écouter,hören,बात सुनो
471,six,seis,six,sechs,छह
472,table,mesa,table,Tabelle,टेबल
473,travel,viajes,Voyage,Reise,यात्रा करना
474,less,menos,moins,weniger,कम से
475,morning,maĄana,matin,Morgen,सुबह
476,ten,diez,dix,zehn,दस
477,simple,sencilla,simple,einfach,सरल
478,several,varios,plusieurs,mehrere,कई
479,vowel,vocal,voyelle,Vokal,स्वर
480,toward,hacia,vers,auf,की ओर
481,war,guerra,guerre,Krieg,युद्ध
482,lay,sentar,poser,legen,लेज़
483,against,contra,contre,gegen,विरुद्ध
484,pattern,patrón,modŐle,Muster,प्रतिरूप
485,slow,lenta,lent,schleppend,धीरे
486,center,centro,centre,Zentrum,केन्द्र
487,love,amar,amour,Liebe,माही माही
488,person,persona,personne,Person,व्यक्ति
489,money,dinero,argent,Geld,पैसे
490,serve,servir,servir,dienen,सेवा कर
491,appear,aparecerá,apparaître,erscheinen,दिखाई
492,road,carretera,route,Straße,सड़क
493,map,mapa,carte,Karte,नक्शा
494,rain,lluvia,pluie,regen,वर्षा
495,rule,regla,rŐgle,Regel,नियम
496,govern,gobernar,gouverner,regieren,को नियंत्रित करने वाले
497,pull,Halar,tirer,ziehen,खींचें
498,cold,frío,froid,Kälte,सर्दी
499,notice,aviso,avis,Hinweis,नोटिस
500,voice,voz,voix,Stimme,आवाज़
501,energy,energía,énergie,Energie,ऊर्जा
502,hunt,caza,chasse,Jagd,शिकार
503,probable,probable,probable,wahrscheinlich,संभावित
504,bed,cama,lit,Bett,बिस्तर
505,brother,hermano,frŐre,Bruder,भाई साहब
506,egg,huevo,?uf,Ei,अंडा
507,ride,paseo,tour,Fahrt,सवारी
508,cell,celular,cellule,Zelle,सेल
509,believe,creer,croire,glauben,विश्वास करते हैं
510,perhaps,quizás,peut-łtre,vielleicht,शायद
511,pick,recoger,choisir,pflücken,चुनना
512,sudden,repentina,soudain,plötzlich,अचानक
513,count,contar,compter,zählen,गिनती
514,square,plaza,carré,Platz,वर्ग
515,reason,razón,raison,Grund,कारण
516,length,longitud,longueur,Dauer,लंबाई
517,represent,representar,représenter,vertreten,का प्रतिनिधित्व
518,art,arte,art,Kunst,कला
519,subject,sujeto,sujet,Thema,विषय
520,region,región,région,Region,क्षेत्र
521,size,tamaĄo,taille,Größe,आकार
522,vary,variar,varier,variieren,भिन्न
523,settle,resolver,régler,regeln,रुकना
524,speak,hablar,parler,sprechen,बात क
525,weight,peso,poids,Gewicht,वजन
526,general,general,général,allgemein,आम
527,ice,hielo,glace,Eis,बर्फ
528,matter,materia,question,Materie,मामला
529,circle,círculo,cercle,Kreis,वृत्त
530,pair,par,paire,Paar,जोड़ा
531,include,incluir,inclure,umfassen,शामिल
532,divide,brecha,fracture,Kluft,विभाजन
533,syllable,sílaba,syllabe,Silbe,शब्दांश
534,felt,sentido,feutre,Filz,लगा
535,grand,gran,grandiose,groß,बड़ा
536,ball,bola,balle,Kugel,गेंद
537,yet,aún,encore,noch,अभी तक
538,wave,ola,vague,Welle,लहर
539,drop,caer,tomber,fallen,ड्रॉप
540,heart,corazón,c?ur,Herz,दिल
541,am,am,h,Uhr,बजे
542,present,presente,présent,vorhanden,वर्तमान
543,heavy,pesada,lourd,schwer,हैवी
544,dance,danza,danse,Tanz,नृत्य
545,engine,motor,moteur,Motor,यन्त्र
546,position,posición,position,Position,पद
547,arm,brazo,bras,Arm,हाथ
548,wide,amplio,large,breit,चौड़ा
549,sail,vela,voile,Segel,जलयात्रा
550,material,materiales,matériel,Material,सामग्री
551,fraction,fracción,fraction,Fraktion,अंश
552,forest,bosque,forłt,Wald,जंगल
553,sit,sentarse,s?asseoir,sitzen,बैठिये
554,race,carrera,course,Rennen,रेस
555,window,ventana,fenłtre,Fenster,खिड़की
556,store,tienda,magasin,Speicher,दुकान
557,summer,verano,été,Sommer,गर्मी
